Name,Team,Position,Height(inches),Weight(lbs),Age,code,Team,Payroll(millions),Wins
Adrian,Ame,Defensa,70,150,22,WAS,Nationals,81.34,98
Adrian,Ame,Defensa,70,150,22,CIN,Reds,82.2,97
Adrian,Ame,Defensa,70,150,22,NYY,Yankees,197.96,95
Adrian,Ame,Defensa,70,150,22,SF,Giants,117.62,94
Adrian,Ame,Defensa,70,150,22,ATL,Braves,83.31,94
Adrian,Ame,Defensa,70,150,22,OAK,Athletics,55.37,94
Adrian,Ame,Defensa,70,150,22,TEX,Rangers,120.51,93
Adrian,Ame,Defensa,70,150,22,BAL,Orioles,81.43,93
Adrian,Ame,Defensa,70,150,22,TB,Rays,64.17,90
Adrian,Ame,Defensa,70,150,22,ANA,Angels,154.49,89
Adrian,Ame,Defensa,70,150,22,DET,Tigers,132.3,88
Adrian,Ame,Defensa,70,150,22,STL,Cardinals,110.3,88
Adrian,Ame,Defensa,70,150,22,LA,Dodgers,95.14,86
Adrian,Ame,Defensa,70,150,22,CWS,White Sox,96.92,85
Adrian,Ame,Defensa,70,150,22,MLW,Brewers,97.65,83
Adrian,Ame,Defensa,70,150,22,PHI,Phillies,174.54,81
Adrian,Ame,Defensa,70,150,22,ARZ,Diamondbacks,74.28,81
Adrian,Ame,Defensa,70,150,22,PIT,Pirates,63.43,79
Adrian,Ame,Defensa,70,150,22,SD,Padres,55.24,76
Adrian,Ame,Defensa,70,150,22,SEA,Mariners,81.97,75
Adrian,Ame,Defensa,70,150,22,NYM,Mets,93.35,74
Adrian,Ame,Defensa,70,150,22,TOR,Blue Jays,75.48,73
Adrian,Ame,Defensa,70,150,22,KC,Royals,60.91,72
Adrian,Ame,Defensa,70,150,22,FLA,Marlins,118.07,69
Adrian,Ame,Defensa,70,150,22,BOS,Red Sox,173.18,69
Adrian,Ame,Defensa,70,150,22,CLE,Indians,78.43,68
Adrian,Ame,Defensa,70,150,22,MIN,Twins,94.08,66
Adrian,Ame,Defensa,70,150,22,COL,Rockies,78.06,64
Adrian,Ame,Defensa,70,150,22,CHC,Cubs,88.19,61
Adrian,Ame,Defensa,70,150,22,HOU,Astros,60.65,55
Brayan Pe?a, ATL, Catcher,71,220,25.14,WAS,Nationals,81.34,98
Brayan Pe?a, ATL, Catcher,71,220,25.14,CIN,Reds,82.2,97
Brayan Pe?a, ATL, Catcher,71,220,25.14,NYY,Yankees,197.96,95
Brayan Pe?a, ATL, Catcher,71,220,25.14,SF,Giants,117.62,94
Brayan Pe?a, ATL, Catcher,71,220,25.14,ATL,Braves,83.31,94
Brayan Pe?a, ATL, Catcher,71,220,25.14,OAK,Athletics,55.37,94
Brayan Pe?a, ATL, Catcher,71,220,25.14,TEX,Rangers,120.51,93
Brayan Pe?a, ATL, Catcher,71,220,25.14,BAL,Orioles,81.43,93
Brayan Pe?a, ATL, Catcher,71,220,25.14,TB,Rays,64.17,90
Brayan Pe?a, ATL, Catcher,71,220,25.14,ANA,Angels,154.49,89
Brayan Pe?a, ATL, Catcher,71,220,25.14,DET,Tigers,132.3,88
Brayan Pe?a, ATL, Catcher,71,220,25.14,STL,Cardinals,110.3,88
Brayan Pe?a, ATL, Catcher,71,220,25.14,LA,Dodgers,95.14,86
Brayan Pe?a, ATL, Catcher,71,220,25.14,CWS,White Sox,96.92,85
Brayan Pe?a, ATL, Catcher,71,220,25.14,MLW,Brewers,97.65,83
Brayan Pe?a, ATL, Catcher,71,220,25.14,PHI,Phillies,174.54,81
Brayan Pe?a, ATL, Catcher,71,220,25.14,ARZ,Diamondbacks,74.28,81
Brayan Pe?a, ATL, Catcher,71,220,25.14,PIT,Pirates,63.43,79
Brayan Pe?a, ATL, Catcher,71,220,25.14,SD,Padres,55.24,76
Brayan Pe?a, ATL, Catcher,71,220,25.14,SEA,Mariners,81.97,75
Brayan Pe?a, ATL, Catcher,71,220,25.14,NYM,Mets,93.35,74
Brayan Pe?a, ATL, Catcher,71,220,25.14,TOR,Blue Jays,75.48,73
Brayan Pe?a, ATL, Catcher,71,220,25.14,KC,Royals,60.91,72
Brayan Pe?a, ATL, Catcher,71,220,25.14,FLA,Marlins,118.07,69
Brayan Pe?a, ATL, Catcher,71,220,25.14,BOS,Red Sox,173.18,69
Brayan Pe?a, ATL, Catcher,71,220,25.14,CLE,Indians,78.43,68
Brayan Pe?a, ATL, Catcher,71,220,25.14,MIN,Twins,94.08,66
Brayan Pe?a, ATL, Catcher,71,220,25.14,COL,Rockies,78.06,64
Brayan Pe?a, ATL, Catcher,71,220,25.14,CHC,Cubs,88.19,61
Brayan Pe?a, ATL, Catcher,71,220,25.14,HOU,Astros,60.65,55
Jason Varitek, BOS, Catcher,74,230,34.89,WAS,Nationals,81.34,98
Jason Varitek, BOS, Catcher,74,230,34.89,CIN,Reds,82.2,97
Jason Varitek, BOS, Catcher,74,230,34.89,NYY,Yankees,197.96,95
Jason Varitek, BOS, Catcher,74,230,34.89,SF,Giants,117.62,94
Jason Varitek, BOS, Catcher,74,230,34.89,ATL,Braves,83.31,94
Jason Varitek, BOS, Catcher,74,230,34.89,OAK,Athletics,55.37,94
Jason Varitek, BOS, Catcher,74,230,34.89,TEX,Rangers,120.51,93
Jason Varitek, BOS, Catcher,74,230,34.89,BAL,Orioles,81.43,93
Jason Varitek, BOS, Catcher,74,230,34.89,TB,Rays,64.17,90
Jason Varitek, BOS, Catcher,74,230,34.89,ANA,Angels,154.49,89
Jason Varitek, BOS, Catcher,74,230,34.89,DET,Tigers,132.3,88
Jason Varitek, BOS, Catcher,74,230,34.89,STL,Cardinals,110.3,88
Jason Varitek, BOS, Catcher,74,230,34.89,LA,Dodgers,95.14,86
Jason Varitek, BOS, Catcher,74,230,34.89,CWS,White Sox,96.92,85
Jason Varitek, BOS, Catcher,74,230,34.89,MLW,Brewers,97.65,83
Jason Varitek, BOS, Catcher,74,230,34.89,PHI,Phillies,174.54,81
